frame,timestamp,wall_clock_ms,zone,px,py,angle,fov,render_w,render_h,dt_floor_ceil,dt_walls,dt_cast,dt_blit_walls,dt_visplane,dt_entities,dt_tint,dt_upscale,dt_hud,dt_sim,dt_physics,dt_frame_total,fps,strip_cache_size,strip_cache_prev_size,col_cache_size,ent_pool_size,bb_base_cache_size,glyph_cache_size,n_entities_visible,n_entity_billboards,n_deferred_halves,n_slices,c_extension_active
56,1771515497.4756532,601.7522999900393,pawn_shop,6.689,7.542,4.5644,1.0472,480,320,0.826,1.092,0.313,0.779,0.693,1.265,0.001,0.299,1.091,,,5.426,87.7,1835,0,0,0,0,141,14,12,108,228,True
57,1771515497.4866557,612.7691000001505,pawn_shop,6.68,7.487,4.5644,1.0472,480,320,0.769,1.122,0.304,0.818,0.687,1.283,0.001,0.299,1.09,,,5.402,87.7,1854,0,0,0,0,141,14,12,107,227,True
58,1771515497.4976578,623.7448000028962,pawn_shop,6.672,7.429,4.5644,1.0472,480,320,0.76,1.15,0.301,0.849,0.716,1.682,0.001,0.329,1.123,,,5.927,87.7,1874,0,0,0,0,142,14,12,106,226,True
59,1771515497.5086606,634.7166999912588,pawn_shop,6.663,7.371,4.5644,1.0472,480,320,0.723,1.121,0.28,0.841,0.683,1.294,0.001,0.295,1.109,,,5.402,87.7,1896,0,0,0,0,142,14,12,105,225,True
60,1771515497.519663,645.7435999909649,pawn_shop,6.654,7.31,4.5644,1.0472,480,320,0.81,1.134,0.3,0.834,0.695,1.288,0.001,0.321,1.154,,,5.558,92.6,1915,0,0,0,0,142,14,12,104,224,True
61,1771515497.5306654,656.7348999960814,pawn_shop,6.645,7.249,4.5644,1.0472,480,320,0.75,1.148,0.316,0.832,0.694,1.273,0.001,0.312,1.073,,,5.401,92.6,1934,0,0,0,0,142,14,12,104,224,True
62,1771515497.5406675,666.6890999913448,pawn_shop,6.636,7.189,4.5644,1.0472,480,320,0.647,1.002,0.26,0.742,0.679,1.226,0.001,0.182,1.069,,,4.944,92.6,1946,0,0,0,0,142,14,12,104,224,True
63,1771515497.5516703,677.6905000006082,pawn_shop,6.627,7.127,4.5644,1.0472,480,320,0.661,1.158,0.266,0.892,0.665,1.234,0.001,0.256,1.061,,,5.175,92.6,1980,0,0,0,0,142,14,12,103,223,True
64,1771515497.5616727,687.6880999916466,pawn_shop,6.618,7.066,4.5644,1.0472,480,320,0.757,1.088,0.269,0.819,0.651,1.234,0.001,0.24,1.075,,,5.187,92.6,2002,0,0,0,0,142,14,12,104,224,True
65,1771515497.5716748,697.6999000034994,pawn_shop,6.609,7.005,4.5644,1.0472,480,320,0.662,1.214,0.26,0.954,0.708,1.218,0.001,0.256,1.07,,,5.269,92.6,2038,0,0,0,0,142,14,12,104,224,True
66,1771515497.5816777,707.7091999963159,pawn_shop,6.6,6.944,4.5644,1.0472,480,320,0.672,1.086,0.264,0.822,0.658,1.211,0.001,0.198,1.075,,,5.04,92.6,2058,0,0,0,0,142,14,12,101,221,True
67,1771515497.5916798,717.8847000031965,pawn_shop,6.591,6.884,4.5684,1.0472,480,320,0.773,1.149,0.31,0.839,0.683,1.307,0.002,0.342,1.119,,,5.547,92.6,2070,0,0,0,0,142,14,12,100,220,True
68,1771515497.6026833,728.9193000033265,pawn_shop,6.582,6.823,4.5844,1.0472,480,320,0.84,1.222,0.316,0.906,0.695,1.294,0.001,0.338,1.138,,,5.768,92.6,2084,0,0,0,0,142,14,11,97,217,True
